subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating,key_mapping,subject_id,study_id,session_id,test_mode,trial_index,target_id,target_filename,flanker_id,flanker_filename,correct_response,device_pixel_ratio
1,1,1,study,0,male,Latino,female,White,happy,,,,,m,875,True,False,,1,,,,False,17,LM-235,materials/cfd/Images/CFD/LM-235/CFD-LM-235-231-N.jpg,WF-027,materials/cfd/Images/CFD/WF-027/CFD-WF-027-021-HO.jpg,m,2
1,1,2,study,0,female,Latino,female,White,happy,,,,,z,1880,True,False,,1,,,,False,19,LF-200,materials/cfd/Images/CFD/LF-200/CFD-LF-200-058-N.jpg,WF-018,materials/cfd/Images/CFD/WF-018/CFD-WF-018-018-HO.jpg,z,2
1,1,3,study,0,male,Asian,female,White,neutral,,,,,m,854,True,False,,1,,,,False,21,AM-206,materials/cfd/Images/CFD/AM-206/CFD-AM-206-086-N.jpg,WF-251,materials/cfd/Images/CFD/WF-251/CFD-WF-251-014-N.jpg,m,2
1,1,4,study,0,male,White,male,White,neutral,,,,,m,740,True,False,,1,,,,False,23,WM-223,materials/cfd/Images/CFD/WM-223/CFD-WM-223-056-N.jpg,WM-040,materials/cfd/Images/CFD/WM-040/CFD-WM-040-022-N.jpg,m,2
1,1,5,study,0,female,Asian,male,White,angry,,,,,z,859,True,False,,1,,,,False,25,AF-226,materials/cfd/Images/CFD/AF-226/CFD-AF-226-251-N.jpg,WM-037,materials/cfd/Images/CFD/WM-037/CFD-WM-037-060-A.jpg,z,2
1,1,6,study,0,female,Black,female,Black,angry,,,,,z,1103,True,False,,1,,,,False,27,BF-047,materials/cfd/Images/CFD/BF-047/CFD-BF-047-003-N.jpg,BF-016,materials/cfd/Images/CFD/BF-016/CFD-BF-016-020-A.jpg,z,2
1,1,7,study,0,male,Black,female,Black,happy,,,,,m,730,True,False,,1,,,,False,29,BM-227,materials/cfd/Images/CFD/BM-227/CFD-BM-227-191-N.jpg,BF-019,materials/cfd/Images/CFD/BF-019/CFD-BF-019-022-HO.jpg,m,2
1,1,8,study,0,male,White,male,White,angry,,,,,m,905,True,False,,1,,,,False,31,WM-026,materials/cfd/Images/CFD/WM-026/CFD-WM-026-001-N.jpg,WM-017,materials/cfd/Images/CFD/WM-017/CFD-WM-017-011-A.jpg,m,2
1,1,9,study,0,male,Black,male,Black,happy,,,,,m,929,True,False,,1,,,,False,33,BM-209,materials/cfd/Images/CFD/BM-209/CFD-BM-209-088-N.jpg,BM-030,materials/cfd/Images/CFD/BM-030/CFD-BM-030-004-HO.jpg,m,2
1,1,10,study,0,male,White,female,Black,happy,,,,,m,767,True,False,,1,,,,False,35,WM-237,materials/cfd/Images/CFD/WM-237/CFD-WM-237-052-N.jpg,BF-017,materials/cfd/Images/CFD/BF-017/CFD-BF-017-004-HO.jpg,m,2
1,1,11,study,0,male,White,male,Black,angry,,,,,m,626,True,False,,1,,,,False,37,WM-245,materials/cfd/Images/CFD/WM-245/CFD-WM-245-123-N.jpg,BM-041,materials/cfd/Images/CFD/BM-041/CFD-BM-041-048-A.jpg,m,2
1,1,12,study,0,female,Black,female,Black,neutral,,,,,z,929,True,False,,1,,,,False,39,BF-217,materials/cfd/Images/CFD/BF-217/CFD-BF-217-189-N.jpg,BF-212,materials/cfd/Images/CFD/BF-212/CFD-BF-212-315-N.jpg,z,2
1,1,13,study,0,female,Asian,male,White,happy,,,,,z,800,True,False,,1,,,,False,41,AF-227,materials/cfd/Images/CFD/AF-227/CFD-AF-227-207-N.jpg,WM-015,materials/cfd/Images/CFD/WM-015/CFD-WM-015-005-HO.jpg,z,2
1,1,14,study,0,female,Black,male,Black,neutral,,,,,z,813,True,False,,1,,,,False,43,BF-254,materials/cfd/Images/CFD/BF-254/CFD-BF-254-201-N.jpg,BM-237,materials/cfd/Images/CFD/BM-237/CFD-BM-237-188-N.jpg,z,2
1,1,15,study,0,female,White,male,Black,happy,,,,,z,676,True,False,,1,,,,False,45,WF-012,materials/cfd/Images/CFD/WF-012/CFD-WF-012-002-N.jpg,BM-043,materials/cfd/Images/CFD/BM-043/CFD-BM-043-076-HO.jpg,z,2
1,1,16,study,0,female,Asian,male,White,happy,,,,,z,799,True,False,,1,,,,False,47,AF-224,materials/cfd/Images/CFD/AF-224/CFD-AF-224-026-N.jpg,WM-031,materials/cfd/Images/CFD/WM-031/CFD-WM-031-004-HO.jpg,z,2
1,1,17,study,0,male,Black,female,White,angry,,,,,m,840,True,False,,1,,,,False,49,BM-242,materials/cfd/Images/CFD/BM-242/CFD-BM-242-233-N.jpg,WF-002,materials/cfd/Images/CFD/WF-002/CFD-WF-002-033-A.jpg,m,2
1,1,18,study,0,female,Black,female,Black,happy,,,,,z,1070,True,False,,1,,,,False,51,BF-025,materials/cfd/Images/CFD/BF-025/CFD-BF-025-002-N.jpg,BF-041,materials/cfd/Images/CFD/BF-041/CFD-BF-041-004-HO.jpg,z,2
1,1,19,study,0,female,Asian,male,White,neutral,,,,,z,2000,True,False,,1,,,,False,53,AF-241,materials/cfd/Images/CFD/AF-241/CFD-AF-241-141-N.jpg,WM-011,materials/cfd/Images/CFD/WM-011/CFD-WM-011-002-N.jpg,z,2
1,1,20,study,0,male,White,female,Black,happy,,,,,m,686,True,False,,1,,,,False,55,WM-041,materials/cfd/Images/CFD/WM-041/CFD-WM-041-021-N.jpg,BF-044,materials/cfd/Images/CFD/BF-044/CFD-BF-044-007-HO.jpg,m,2
1,1,21,study,0,female,Latino,female,Black,happy,,,,,z,729,True,False,,1,,,,False,57,LF-254,materials/cfd/Images/CFD/LF-254/CFD-LF-254-125-N.jpg,BF-010,materials/cfd/Images/CFD/BF-010/CFD-BF-010-003-HO.jpg,z,2
1,1,22,study,0,male,Black,female,White,neutral,,,,,m,671,True,False,,1,,,,False,59,BM-004,materials/cfd/Images/CFD/BM-004/CFD-BM-004-002-N.jpg,WF-205,materials/cfd/Images/CFD/WF-205/CFD-WF-205-006-N.jpg,m,2
1,1,23,study,0,male,Asian,male,Black,happy,,,,,m,685,True,False,,1,,,,False,61,AM-216,materials/cfd/Images/CFD/AM-216/CFD-AM-216-114-N.jpg,BM-026,materials/cfd/Images/CFD/BM-026/CFD-BM-026-009-HO.jpg,m,2
1,1,24,study,0,female,Asian,male,White,neutral,,,,,z,796,True,False,,1,,,,False,63,AF-251,materials/cfd/Images/CFD/AF-251/CFD-AF-251-093-N.jpg,WM-016,materials/cfd/Images/CFD/WM-016/CFD-WM-016-001-N.jpg,z,2
1,1,25,study,0,male,Black,male,White,neutral,,,,,m,886,True,False,,1,,,,False,65,BM-010,materials/cfd/Images/CFD/BM-010/CFD-BM-010-003-N.jpg,WM-213,materials/cfd/Images/CFD/WM-213/CFD-WM-213-076-N.jpg,m,2
1,1,26,study,0,male,Black,female,Black,neutral,,,,,m,764,True,False,,1,,,,False,67,BM-200,materials/cfd/Images/CFD/BM-200/CFD-BM-200-046-N.jpg,BF-228,materials/cfd/Images/CFD/BF-228/CFD-BF-228-212-N.jpg,m,2
1,1,27,study,0,male,White,female,White,angry,,,,,m,815,True,False,,1,,,,False,69,WM-257,materials/cfd/Images/CFD/WM-257/CFD-WM-257-161-N.jpg,WF-019,materials/cfd/Images/CFD/WF-019/CFD-WF-019-015-A.jpg,m,2
1,1,28,study,0,male,Black,male,White,neutral,,,,,m,989,True,False,,1,,,,False,71,BM-233,materials/cfd/Images/CFD/BM-233/CFD-BM-233-285-N.jpg,WM-010,materials/cfd/Images/CFD/WM-010/CFD-WM-010-001-N.jpg,m,2
1,1,29,study,0,female,Asian,female,White,happy,,,,,z,711,True,False,,1,,,,False,73,AF-255,materials/cfd/Images/CFD/AF-255/CFD-AF-255-209-N.jpg,WF-013,materials/cfd/Images/CFD/WF-013/CFD-WF-013-006-HO.jpg,z,2
1,1,30,study,0,female,Black,female,Black,angry,,,,,z,777,True,False,,1,,,,False,75,BF-241,materials/cfd/Images/CFD/BF-241/CFD-BF-241-222-N.jpg,BF-035,materials/cfd/Images/CFD/BF-035/CFD-BF-035-009-A.jpg,z,2
1,1,31,study,1,male,White,male,White,angry,,,,,m,717,True,False,,1,,,,False,78,WM-219,materials/cfd/Images/CFD/WM-219/CFD-WM-219-008-N.jpg,WM-013,materials/cfd/Images/CFD/WM-013/CFD-WM-013-015-A.jpg,m,2
1,1,32,study,1,female,Asian,female,White,neutral,,,,,z,679,True,False,,1,,,,False,80,AF-250,materials/cfd/Images/CFD/AF-250/CFD-AF-250-200-N.jpg,WF-201,materials/cfd/Images/CFD/WF-201/CFD-WF-201-156-N.jpg,z,2
1,1,33,study,1,female,White,female,White,neutral,,,,,z,744,True,False,,1,,,,False,82,WF-024,materials/cfd/Images/CFD/WF-024/CFD-WF-024-003-N.jpg,WF-026,materials/cfd/Images/CFD/WF-026/CFD-WF-026-002-N.jpg,z,2
1,1,34,study,1,female,White,male,White,angry,,,,,z,940,True,False,,1,,,,False,84,WF-216,materials/cfd/Images/CFD/WF-216/CFD-WF-216-079-N.jpg,WM-002,materials/cfd/Images/CFD/WM-002/CFD-WM-002-017-A.jpg,z,2
1,1,35,study,1,male,White,female,White,neutral,,,,,m,803,True,False,,1,,,,False,86,WM-036,materials/cfd/Images/CFD/WM-036/CFD-WM-036-031-N.jpg,WF-232,materials/cfd/Images/CFD/WF-232/CFD-WF-232-161-N.jpg,m,2
1,1,36,study,1,female,Latino,male,Black,happy,,,,,z,910,True,False,,1,,,,False,88,LF-227,materials/cfd/Images/CFD/LF-227/CFD-LF-227-054-N.jpg,BM-009,materials/cfd/Images/CFD/BM-009/CFD-BM-009-003-HO.jpg,z,2
1,1,37,study,1,female,Black,male,Black,angry,,,,,m,2332,False,False,,1,,,,False,90,BF-029,materials/cfd/Images/CFD/BF-029/CFD-BF-029-031-N.jpg,BM-032,materials/cfd/Images/CFD/BM-032/CFD-BM-032-015-A.jpg,z,2
1,1,38,study,1,male,Latino,female,White,neutral,,,,,m,1262,True,False,,1,,,,False,92,LM-230,materials/cfd/Images/CFD/LM-230/CFD-LM-230-202-N.jpg,WF-033,materials/cfd/Images/CFD/WF-033/CFD-WF-033-002-N.jpg,m,2
1,1,39,study,1,female,White,male,Black,angry,,,,,z,888,True,False,,1,,,,False,94,WF-249,materials/cfd/Images/CFD/WF-249/CFD-WF-249-126-N.jpg,BM-036,materials/cfd/Images/CFD/BM-036/CFD-BM-036-037-A.jpg,z,2
