subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating
1,1,1,study,0,female,Black,male,Black,angry,,,,,z,1205,True,False,
1,1,2,study,0,female,White,male,Black,happy,,,,,z,875,True,False,
1,1,3,study,0,female,Latino,male,Black,angry,,,,,z,753,True,False,
1,1,4,study,0,female,Black,male,Black,neutral,,,,,z,808,True,False,
1,1,5,study,0,female,White,female,Black,neutral,,,,,z,723,True,False,
1,1,6,study,0,male,White,male,White,angry,,,,,m,925,True,False,
1,1,7,study,0,male,Asian,female,White,neutral,,,,,m,765,True,False,
1,1,8,study,0,female,Asian,male,White,neutral,,,,,z,1286,True,False,
1,1,9,study,0,male,Latino,female,Black,neutral,,,,,m,840,True,False,
1,1,10,study,0,female,Asian,female,Black,happy,,,,,z,1095,True,False,
1,1,11,study,0,male,Asian,female,Black,happy,,,,,m,781,True,False,
1,1,12,study,0,male,Black,male,Black,happy,,,,,m,1682,True,False,
1,1,13,study,0,female,White,male,Black,angry,,,,,z,887,True,False,
1,1,14,study,0,female,White,female,Black,angry,,,,,z,710,True,False,
1,1,15,study,0,female,Black,female,White,happy,,,,,z,815,True,False,
1,1,16,study,0,male,Latino,female,White,happy,,,,,m,926,True,False,
1,1,17,study,0,female,White,female,Black,angry,,,,,z,1039,True,False,
1,1,18,study,0,male,Asian,male,Black,happy,,,,,m,822,True,False,
1,1,19,study,0,female,Black,male,Black,happy,,,,,z,895,True,False,
1,1,20,study,0,male,Asian,female,Black,angry,,,,,m,713,True,False,
1,1,21,study,0,male,Asian,female,White,happy,,,,,m,658,True,False,
1,1,22,study,0,female,Asian,female,Black,angry,,,,,z,1329,True,False,
1,1,23,study,0,female,Latino,male,Black,neutral,,,,,z,917,True,False,
1,1,24,study,0,male,Black,female,Black,angry,,,,,m,623,True,False,
1,1,25,study,0,female,Asian,male,Black,happy,,,,,z,557,True,False,
1,1,26,study,0,male,White,female,Black,neutral,,,,,m,937,True,False,
1,1,27,study,0,female,White,male,Black,angry,,,,,z,855,True,False,
1,1,28,study,0,male,Latino,male,White,angry,,,,,m,741,True,False,
1,1,29,study,0,male,Asian,male,Black,happy,,,,,m,863,True,False,
1,1,30,study,0,female,Black,female,Black,neutral,,,,,z,739,True,False,
1,1,31,study,1,female,Latino,female,White,angry,,,,,z,1471,True,False,
1,1,32,study,1,female,Black,female,Black,happy,,,,,z,931,True,False,
1,1,33,study,1,male,White,female,Black,happy,,,,,m,655,True,False,
1,1,34,study,1,male,Black,male,White,angry,,,,,m,700,True,False,
1,1,35,study,1,male,White,male,White,happy,,,,,m,717,True,False,
1,1,36,study,1,female,Asian,female,Black,neutral,,,,,z,852,True,False,
1,1,37,study,1,male,Asian,female,Black,neutral,,,,,m,1140,True,False,
1,1,38,study,1,male,Latino,female,White,angry,,,,,m,1198,True,False,
1,1,39,study,1,female,White,male,Black,neutral,,,,,z,774,True,False,
1,1,40,study,1,male,Asian,male,White,neutral,,,,,m,1351,True,False,
1,1,41,study,1,male,White,male,Black,angry,,,,,m,972,True,False,
1,1,42,study,1,male,Asian,female,Black,happy,,,,,m,1166,True,False,
1,1,43,study,1,female,Asian,male,White,happy,,,,,z,1158,True,False,
1,1,44,study,1,male,White,female,Black,neutral,,,,,m,850,True,False,
1,1,45,study,1,male,White,male,Black,neutral,,,,,m,681,True,False,
1,1,46,study,1,female,Latino,female,Black,neutral,,,,,z,906,True,False,
1,1,47,study,1,male,White,male,White,happy,,,,,m,846,True,False,
1,1,48,study,1,male,White,female,Black,angry,,,,,m,999,True,False,
1,1,49,study,1,male,Asian,male,Black,angry,,,,,m,829,True,False,
1,1,50,study,1,female,Black,female,Black,neutral,,,,,z,1121,True,False,
1,1,51,study,1,female,Latino,male,Black,neutral,,,,,z,1128,True,False,
1,1,52,study,1,female,Latino,female,White,angry,,,,,z,832,True,False,
1,1,53,study,1,male,Latino,female,White,angry,,,,,m,1217,True,False,
1,1,54,study,1,female,Black,male,Black,angry,,,,,z,899,True,False,
1,1,55,study,1,female,White,female,Black,happy,,,,,z,851,True,False,
1,1,56,study,1,male,Latino,male,Black,neutral,,,,,z,1370,False,False,
1,1,57,study,1,female,White,female,Black,happy,,,,,z,930,True,False,
1,1,58,study,1,male,Latino,male,Black,neutral,,,,,m,930,True,False,
1,1,59,study,1,female,Black,male,Black,happy,,,,,z,953,True,False,
1,1,60,study,1,male,Black,male,Black,neutral,,,,,m,1073,True,False,
1,1,61,test,0,male,Black,,,,new,,,,z,1441,False,False,
1,1,62,test,0,female,Latino,,,,old,angry,male,,m,987,False,False,
1,1,63,test,0,female,Black,,,,old,happy,female,,z,1018,True,False,
1,1,64,test,0,male,White,,,,new,,,,m,985,True,False,
1,1,65,test,0,male,White,,,,old,happy,male,,m,728,False,False,
1,1,66,test,0,male,White,,,,new,,,,m,671,True,False,
1,1,67,test,0,female,White,,,,old,angry,male,,z,1360,True,False,
1,1,68,test,0,female,White,,,,new,,,,m,975,True,False,
1,1,69,test,0,female,Black,,,,old,happy,male,,m,1340,False,False,
1,1,70,test,0,female,Black,,,,old,angry,male,,m,955,False,False,
1,1,71,test,0,male,Latino,,,,old,angry,male,,z,1797,True,False,
1,1,72,test,0,male,White,,,,new,,,,m,1909,True,False,
1,1,73,test,0,female,White,,,,new,,,,m,966,True,False,
1,1,74,test,0,female,Asian,,,,new,,,,m,988,True,False,
1,1,75,test,0,female,White,,,,old,neutral,male,,m,1255,False,False,
1,1,76,test,0,female,White,,,,new,,,,m,873,True,False,
1,1,77,test,0,male,Latino,,,,old,angry,female,,m,2091,False,False,
1,1,78,test,0,female,Asian,,,,new,,,,m,1023,True,False,
1,1,79,test,0,female,Asian,,,,old,neutral,male,,z,851,True,False,
1,1,80,test,0,female,Asian,,,,new,,,,m,1242,True,False,
1,1,81,test,0,female,Asian,,,,old,neutral,female,,z,1425,True,False,
1,1,82,test,0,female,White,,,,old,angry,female,,z,918,True,False,
1,1,83,test,0,male,White,,,,old,neutral,male,,z,1487,True,False,
1,1,84,test,0,female,Latino,,,,new,,,,m,700,True,False,
1,1,85,test,0,male,Latino,,,,old,neutral,male,,z,1147,True,False,
1,1,86,test,0,male,Black,,,,old,neutral,male,,z,836,True,False,
1,1,87,test,0,male,White,,,,new,,,,m,1134,True,False,
1,1,88,test,0,female,Asian,,,,new,,,,m,871,True,False,
1,1,89,test,0,male,Black,,,,old,happy,male,,z,1229,True,False,
1,1,90,test,0,female,Black,,,,new,,,,z,2051,False,False,
1,1,91,test,0,male,Black,,,,new,,,,m,914,True,False,
1,1,92,test,0,female,Latino,,,,new,,,,m,1047,True,False,
1,1,93,test,0,male,Asian,,,,old,angry,male,,z,694,True,False,
1,1,94,test,0,male,Asian,,,,new,,,,m,1084,True,False,
1,1,95,test,0,male,Asian,,,,old,happy,female,,m,815,False,False,
1,1,96,test,0,female,Asian,,,,new,,,,m,946,True,False,
1,1,97,test,0,male,Asian,,,,old,happy,female,,m,838,False,False,
1,1,98,test,0,male,Asian,,,,new,,,,m,1025,True,False,
1,1,99,test,0,female,Black,,,,old,neutral,male,,m,1363,False,False,
1,1,100,test,0,male,Latino,,,,new,,,,z,1108,False,False,
1,1,101,test,1,female,Latino,,,,old,neutral,female,,m,1070,False,False,
1,1,102,test,1,female,Black,,,,old,neutral,female,,m,958,False,False,
1,1,103,test,1,male,White,,,,new,,,,m,762,True,False,
1,1,104,test,1,male,Asian,,,,old,neutral,female,,m,1240,False,False,
1,1,105,test,1,male,Black,,,,new,,,,m,1071,True,False,
1,1,106,test,1,female,Black,,,,old,happy,male,,m,1221,False,False,
1,1,107,test,1,female,Black,,,,old,neutral,female,,m,990,False,False,
1,1,108,test,1,male,White,,,,old,angry,female,,z,1140,True,False,
1,1,109,test,1,female,Black,,,,new,,,,m,1205,True,False,
1,1,110,test,1,male,Asian,,,,new,,,,z,927,False,False,
1,1,111,test,1,female,Latino,,,,new,,,,m,2031,True,False,
1,1,112,test,1,male,White,,,,new,,,,z,919,False,False,
1,1,113,test,1,female,Latino,,,,old,angry,female,,m,955,False,False,
1,1,114,test,1,male,Black,,,,new,,,,m,701,True,False,
1,1,115,test,1,female,Black,,,,new,,,,m,1139,True,False,
1,1,116,test,1,male,Latino,,,,old,happy,female,,m,794,False,False,
1,1,117,test,1,male,Black,,,,old,angry,male,,z,1118,True,False,
1,1,118,test,1,male,Asian,,,,old,happy,male,,m,1238,False,False,
1,1,119,test,1,female,White,,,,old,angry,male,,z,1241,True,False,
1,1,120,test,1,male,Latino,,,,new,,,,m,983,True,False,
1,1,121,test,1,female,Latino,,,,old,angry,female,,m,1027,False,False,
1,1,122,test,1,male,Asian,,,,new,,,,m,945,True,False,
1,1,123,test,1,female,Asian,,,,old,happy,male,,m,613,False,False,
1,1,124,test,1,male,Latino,,,,old,neutral,male,,m,1113,False,False,
1,1,125,test,1,male,Asian,,,,old,angry,female,,m,1157,False,False,
1,1,126,test,1,female,Black,,,,new,,,,m,928,True,False,
1,1,127,test,1,male,Latino,,,,old,neutral,female,,m,955,False,False,
1,1,128,test,1,female,White,,,,old,angry,female,,m,1208,False,False,
1,1,129,test,1,male,Asian,,,,old,happy,female,,m,1416,False,False,
1,1,130,test,1,female,Black,,,,new,,,,m,1356,True,False,
1,1,131,test,1,female,Black,,,,new,,,,m,935,True,False,
1,1,132,test,1,female,Latino,,,,new,,,,m,1253,True,False,
1,1,133,test,1,female,Asian,,,,old,happy,female,,m,847,False,False,
1,1,134,test,1,female,White,,,,old,neutral,female,,m,846,False,False,
1,1,135,test,1,male,White,,,,old,neutral,female,,z,776,True,False,
1,1,136,test,1,female,Black,,,,new,,,,z,753,False,False,
1,1,137,test,1,female,Latino,,,,old,neutral,male,,m,934,False,False,
1,1,138,test,1,female,Latino,,,,old,neutral,male,,m,1211,False,False,
1,1,139,test,1,male,White,,,,new,,,,z,1129,False,False,
1,1,140,test,1,male,Latino,,,,new,,,,m,654,True,False,
1,1,141,test,2,male,Latino,,,,new,,,,m,1094,True,False,
1,1,142,test,2,male,White,,,,old,neutral,female,,m,698,False,False,
1,1,143,test,2,female,Latino,,,,new,,,,m,889,True,False,
1,1,144,test,2,female,Asian,,,,new,,,,m,880,True,False,
1,1,145,test,2,male,Latino,,,,new,,,,m,957,True,False,
1,1,146,test,2,female,White,,,,old,happy,female,,m,897,False,False,
1,1,147,test,2,male,Asian,,,,new,,,,m,956,True,False,
1,1,148,test,2,male,Black,,,,old,angry,female,,z,909,True,False,
1,1,149,test,2,male,White,,,,old,angry,male,,m,1202,False,False,
1,1,150,test,2,female,Black,,,,old,angry,male,,z,791,True,False,
1,1,151,test,2,male,White,,,,old,happy,female,,m,788,False,False,
1,1,152,test,2,female,Black,,,,old,happy,female,,z,894,True,False,
1,1,153,test,2,female,Asian,,,,old,angry,female,,m,924,False,False,
1,1,154,test,2,male,Black,,,,new,,,,z,2120,False,False,
1,1,155,test,2,male,Black,,,,new,,,,m,1035,True,False,
1,1,156,test,2,female,Asian,,,,new,,,,m,947,True,False,
1,1,157,test,2,male,Asian,,,,new,,,,m,623,True,False,
1,1,158,test,2,female,White,,,,new,,,,m,1218,True,False,
1,1,159,test,2,female,Black,,,,new,,,,m,1169,True,False,
1,1,160,test,2,male,Asian,,,,old,happy,male,,m,2573,False,False,
1,1,161,test,2,female,White,,,,new,,,,m,654,True,False,
1,1,162,test,2,male,White,,,,old,angry,male,,z,903,True,False,
1,1,163,test,2,female,White,,,,old,happy,female,,m,589,False,False,
1,1,164,test,2,male,Latino,,,,old,angry,female,,m,717,False,False,
1,1,165,test,2,male,White,,,,new,,,,m,727,True,False,
