subject_number,dataset,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating
1,mar02,1,1,study,0,male,Latino,female,White,happy,,,,,m,875.0,True,False,
1,mar02,1,2,study,0,female,Latino,female,White,happy,,,,,z,1880.0,True,False,
1,mar02,1,3,study,0,male,Asian,female,White,neutral,,,,,m,854.0,True,False,
1,mar02,1,4,study,0,male,White,male,White,neutral,,,,,m,740.0,True,False,
1,mar02,1,5,study,0,female,Asian,male,White,angry,,,,,z,859.0,True,False,
1,mar02,1,6,study,0,female,Black,female,Black,angry,,,,,z,1103.0,True,False,
1,mar02,1,7,study,0,male,Black,female,Black,happy,,,,,m,730.0,True,False,
1,mar02,1,8,study,0,male,White,male,White,angry,,,,,m,905.0,True,False,
1,mar02,1,9,study,0,male,Black,male,Black,happy,,,,,m,929.0,True,False,
1,mar02,1,10,study,0,male,White,female,Black,happy,,,,,m,767.0,True,False,
1,mar02,1,11,study,0,male,White,male,Black,angry,,,,,m,626.0,True,False,
1,mar02,1,12,study,0,female,Black,female,Black,neutral,,,,,z,929.0,True,False,
1,mar02,1,13,study,0,female,Asian,male,White,happy,,,,,z,800.0,True,False,
1,mar02,1,14,study,0,female,Black,male,Black,neutral,,,,,z,813.0,True,False,
1,mar02,1,15,study,0,female,White,male,Black,happy,,,,,z,676.0,True,False,
1,mar02,1,16,study,0,female,Asian,male,White,happy,,,,,z,799.0,True,False,
1,mar02,1,17,study,0,male,Black,female,White,angry,,,,,m,840.0,True,False,
1,mar02,1,18,study,0,female,Black,female,Black,happy,,,,,z,1070.0,True,False,
1,mar02,1,19,study,0,female,Asian,male,White,neutral,,,,,z,2000.0,True,False,
1,mar02,1,20,study,0,male,White,female,Black,happy,,,,,m,686.0,True,False,
1,mar02,1,21,study,0,female,Latino,female,Black,happy,,,,,z,729.0,True,False,
