subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating
1,2,1,study,0,female,White,female,White,happy,,,,,z,771,True,False,
1,2,2,study,0,female,Latino,female,Black,neutral,,,,,z,521,True,False,
1,2,3,study,0,male,White,male,Black,neutral,,,,,m,626,True,False,
1,2,4,study,0,male,Asian,male,Black,angry,,,,,m,652,True,False,
1,2,5,study,0,male,Black,female,White,neutral,,,,,m,514,True,False,
1,2,6,study,0,female,Latino,female,White,angry,,,,,z,606,True,False,
1,2,7,study,0,female,Asian,male,White,happy,,,,,z,601,True,False,
1,2,8,study,0,female,White,male,White,happy,,,,,m,951,False,False,
1,2,9,study,0,male,Asian,female,Black,neutral,,,,,m,568,True,False,
1,2,10,study,0,female,Latino,female,Black,neutral,,,,,z,627,True,False,
1,2,11,study,0,male,Black,female,White,happy,,,,,m,602,True,False,
1,2,12,study,0,female,Black,female,Black,happy,,,,,z,677,True,False,
1,2,13,study,0,female,White,female,Black,happy,,,,,z,524,True,False,
1,2,14,study,0,female,Black,male,White,neutral,,,,,z,648,True,False,
1,2,15,study,0,male,Black,female,White,happy,,,,,m,689,True,False,
1,2,16,study,0,male,Asian,female,Black,angry,,,,,m,548,True,False,
1,2,17,study,0,male,Asian,female,Black,angry,,,,,m,608,True,False,
1,2,18,study,0,female,White,female,White,neutral,,,,,z,619,True,False,
1,2,19,study,0,female,White,male,White,angry,,,,,z,510,True,False,
1,2,20,study,0,male,Black,female,Black,angry,,,,,m,554,True,False,
1,2,21,study,0,female,Black,female,Black,angry,,,,,z,629,True,False,
1,2,22,study,0,male,Latino,female,Black,happy,,,,,m,654,True,False,
1,2,23,study,0,male,White,male,White,happy,,,,,m,698,True,False,
1,2,24,study,0,male,White,female,White,angry,,,,,m,591,True,False,
1,2,25,study,0,female,White,female,White,happy,,,,,z,617,True,False,
1,2,26,study,0,male,Latino,male,White,neutral,,,,,m,660,True,False,
1,2,27,study,0,female,Black,female,White,happy,,,,,z,1060,True,False,
1,2,28,study,0,male,White,male,White,angry,,,,,m,630,True,False,
1,2,29,study,0,male,Latino,male,White,happy,,,,,m,1029,True,False,
1,2,30,study,0,male,Latino,male,Black,neutral,,,,,m,616,True,False,
1,2,31,study,1,male,Black,female,White,happy,,,,,m,435,True,False,
1,2,32,study,1,female,Latino,female,Black,angry,,,,,z,588,True,False,
1,2,33,study,1,male,Asian,male,Black,angry,,,,,m,500,True,False,
1,2,34,study,1,female,White,female,White,angry,,,,,z,577,True,False,
1,2,35,study,1,female,Latino,male,Black,happy,,,,,z,536,True,False,
1,2,36,study,1,male,White,male,Black,angry,,,,,m,644,True,False,
1,2,37,study,1,female,Asian,male,Black,happy,,,,,z,670,True,False,
1,2,38,study,1,male,Black,male,White,happy,,,,,m,612,True,False,
1,2,39,study,1,male,Latino,female,Black,neutral,,,,,m,606,True,False,
1,2,40,study,1,female,Black,male,White,angry,,,,,z,516,True,False,
1,2,41,study,1,female,Black,female,White,neutral,,,,,z,674,True,False,
1,2,42,study,1,female,White,female,White,neutral,,,,,z,437,True,False,
1,2,43,study,1,male,Asian,male,Black,happy,,,,,m,608,True,False,
1,2,44,study,1,male,White,female,White,neutral,,,,,m,569,True,False,
1,2,45,study,1,female,White,male,White,neutral,,,,,z,628,True,False,
1,2,46,study,1,female,Black,male,Black,neutral,,,,,z,685,True,False,
1,2,47,study,1,female,White,male,Black,angry,,,,,z,481,True,False,
1,2,48,study,1,female,Black,male,Black,happy,,,,,z,623,True,False,
1,2,49,study,1,male,White,male,Black,neutral,,,,,m,534,True,False,
1,2,50,study,1,female,Black,male,White,neutral,,,,,z,659,True,False,
1,2,51,study,1,male,Black,female,Black,angry,,,,,m,669,True,False,
1,2,52,study,1,female,Asian,female,Black,angry,,,,,z,547,True,False,
1,2,53,study,1,male,Black,male,Black,angry,,,,,m,573,True,False,
1,2,54,study,1,male,White,male,Black,happy,,,,,m,746,True,False,
1,2,55,study,1,female,Black,male,Black,angry,,,,,z,574,True,False,
1,2,56,study,1,male,Black,male,Black,neutral,,,,,m,583,True,False,
1,2,57,study,1,female,Asian,male,Black,neutral,,,,,z,905,True,False,
1,2,58,study,1,male,White,female,Black,neutral,,,,,m,571,True,False,
1,2,59,study,1,male,White,female,Black,happy,,,,,m,659,True,False,
1,2,60,study,1,female,Latino,male,White,angry,,,,,z,492,True,False,
1,2,61,test,0,male,White,male,Black,angry,,,,rearranged,z,1052,True,False,
1,2,62,test,0,female,Latino,female,Black,angry,,,,rearranged,z,1022,True,False,
1,2,63,test,0,male,Black,female,White,happy,,,,intact,z,977,False,False,
1,2,64,test,0,male,White,male,White,angry,,,,intact,m,1096,True,False,
1,2,65,test,0,male,Latino,male,Black,neutral,,,,intact,z,1129,False,False,
1,2,66,test,0,female,Latino,male,Black,happy,,,,intact,z,1001,False,False,
1,2,67,test,0,female,White,female,White,neutral,,,,rearranged,z,1021,True,False,
1,2,68,test,0,male,White,female,Black,angry,,,,rearranged,m,1662,False,False,
1,2,69,test,0,male,White,male,Black,neutral,,,,rearranged,z,1746,True,False,
1,2,70,test,0,male,Latino,male,White,neutral,,,,intact,z,985,False,False,
1,2,71,test,0,female,Latino,male,Black,angry,,,,rearranged,z,1349,True,False,
1,2,72,test,0,female,White,male,White,neutral,,,,intact,z,938,False,False,
1,2,73,test,0,male,Black,female,Black,angry,,,,intact,m,908,True,False,
1,2,74,test,0,male,Black,male,White,happy,,,,rearranged,m,1306,False,False,
1,2,75,test,0,female,White,male,White,angry,,,,intact,z,1208,False,False,
1,2,76,test,0,male,Asian,male,Black,angry,,,,rearranged,z,1314,True,False,
1,2,77,test,0,female,Asian,male,Black,happy,,,,rearranged,z,1301,True,False,
1,2,78,test,0,female,White,female,White,neutral,,,,rearranged,z,1314,True,False,
1,2,79,test,0,female,White,female,White,happy,,,,rearranged,z,998,True,False,
1,2,80,test,0,male,White,male,White,happy,,,,intact,m,1087,True,False,
1,2,81,test,0,male,Asian,male,Black,angry,,,,rearranged,z,1121,True,False,
1,2,82,test,0,male,Asian,female,White,angry,,,,rearranged,m,1509,False,False,
1,2,83,test,0,male,Black,female,White,neutral,,,,rearranged,z,966,True,False,
1,2,84,test,0,male,Latino,male,Black,happy,,,,rearranged,m,1524,False,False,
1,2,85,test,0,female,Latino,female,Black,neutral,,,,intact,m,1206,True,False,
1,2,86,test,0,female,Asian,male,White,happy,,,,rearranged,z,1121,True,False,
1,2,87,test,0,male,Asian,female,Black,neutral,,,,intact,z,683,False,False,
1,2,88,test,0,male,Black,female,White,happy,,,,intact,z,792,False,False,
1,2,89,test,0,male,Latino,female,White,neutral,,,,rearranged,z,1408,True,False,
1,2,90,test,0,female,Asian,male,White,neutral,,,,rearranged,z,714,True,False,
1,2,91,test,1,female,Asian,female,Black,angry,,,,rearranged,z,1400,True,False,
1,2,92,test,1,male,White,female,White,happy,,,,rearranged,m,3012,False,False,
1,2,93,test,1,female,White,male,White,angry,,,,rearranged,m,1343,False,False,
1,2,94,test,1,female,Black,female,Black,angry,,,,rearranged,z,1271,True,False,
1,2,95,test,1,female,Latino,female,White,angry,,,,intact,z,1196,False,False,
1,2,96,test,1,female,White,male,White,happy,,,,intact,z,1074,False,False,
1,2,97,test,1,female,White,female,White,happy,,,,rearranged,z,2198,True,False,
1,2,98,test,1,male,Black,male,Black,neutral,,,,rearranged,m,1290,False,False,
1,2,99,test,1,female,Black,male,White,angry,,,,rearranged,z,1267,True,False,
1,2,100,test,1,female,Black,female,White,happy,,,,intact,z,760,False,False,
1,2,101,test,1,male,White,male,Black,happy,,,,intact,z,945,False,False,
1,2,102,test,1,female,Black,female,White,neutral,,,,rearranged,z,817,True,False,
1,2,103,test,1,female,Black,male,Black,happy,,,,rearranged,z,841,True,False,
1,2,104,test,1,female,Black,male,White,neutral,,,,intact,z,878,False,False,
1,2,105,test,1,male,Black,female,Black,happy,,,,rearranged,z,543,True,False,
1,2,106,test,1,female,Latino,female,Black,neutral,,,,intact,z,878,False,False,
1,2,107,test,1,male,Asian,male,White,happy,,,,rearranged,z,1549,True,False,
1,2,108,test,1,female,Black,female,Black,happy,,,,intact,m,1181,True,False,
1,2,109,test,1,female,Black,male,Black,neutral,,,,rearranged,z,865,True,False,
1,2,110,test,1,female,White,female,Black,happy,,,,rearranged,z,756,True,False,
1,2,111,test,1,female,Black,male,Black,angry,,,,intact,z,991,False,False,
1,2,112,test,1,female,Black,male,Black,neutral,,,,rearranged,z,800,True,False,
1,2,113,test,1,male,White,female,Black,neutral,,,,intact,z,933,False,False,
1,2,114,test,1,male,Black,male,Black,angry,,,,intact,z,856,False,False,
1,2,115,test,1,female,White,female,White,angry,,,,intact,z,1072,False,False,
1,2,116,test,1,male,White,male,Black,neutral,,,,rearranged,z,972,True,False,
1,2,117,test,1,male,White,female,Black,neutral,,,,rearranged,m,1120,False,False,
1,2,118,test,1,male,Black,female,Black,angry,,,,intact,z,1033,False,False,
1,2,119,test,1,male,Asian,female,Black,angry,,,,rearranged,z,970,True,False,
1,2,120,test,1,male,Latino,female,Black,happy,,,,rearranged,z,1067,True,False,
2,2,1,study,0,male,Latino,female,Black,angry,,,,,z,2207,False,False,
2,2,2,study,0,female,Black,male,Black,neutral,,,,,m,1506,False,False,
2,2,3,study,0,male,Latino,male,Black,happy,,,,,m,953,True,False,
2,2,4,study,0,female,Black,female,White,angry,,,,,z,2106,True,False,
2,2,5,study,0,female,White,male,White,happy,,,,,m,2821,False,False,
2,2,6,study,0,male,Black,male,White,happy,,,,,m,837,True,False,
2,2,7,study,0,female,Latino,female,Black,angry,,,,,z,794,True,False,
2,2,8,study,0,male,White,male,Black,neutral,,,,,m,702,True,False,
2,2,9,study,0,male,Asian,female,Black,angry,,,,,m,1733,True,False,
2,2,10,study,0,female,Black,male,Black,angry,,,,,z,1400,True,False,
2,2,11,study,0,female,Black,female,White,happy,,,,,z,855,True,False,
2,2,12,study,0,female,Latino,female,White,neutral,,,,,z,1041,True,False,
2,2,13,study,0,female,Latino,male,White,happy,,,,,z,903,True,False,
2,2,14,study,0,female,Asian,female,White,angry,,,,,z,710,True,False,
2,2,15,study,0,female,Black,female,Black,happy,,,,,z,635,True,False,
2,2,16,study,0,female,White,male,Black,happy,,,,,z,893,True,False,
2,2,17,study,0,female,Black,female,White,happy,,,,,z,763,True,False,
2,2,18,study,0,female,White,female,White,angry,,,,,z,710,True,False,
2,2,19,study,0,male,Black,male,White,angry,,,,,m,890,True,False,
2,2,20,study,0,female,White,male,Black,angry,,,,,z,1851,True,False,
2,2,21,study,0,female,Black,male,White,neutral,,,,,z,1159,True,False,
2,2,22,study,0,male,Asian,female,Black,happy,,,,,m,799,True,False,
2,2,23,study,0,male,White,male,White,happy,,,,,m,1320,True,False,
2,2,24,study,0,male,Asian,male,White,angry,,,,,m,1636,True,False,
2,2,25,study,0,female,Black,male,White,happy,,,,,z,1205,True,False,
2,2,26,study,0,male,Latino,female,White,neutral,,,,,m,1693,True,False,
2,2,27,study,0,male,Latino,male,Black,neutral,,,,,z,1047,False,False,
2,2,28,study,0,male,Black,female,White,angry,,,,,m,1236,True,False,
2,2,29,study,0,female,Black,male,Black,neutral,,,,,z,825,True,False,
2,2,30,study,0,male,Asian,female,White,neutral,,,,,m,909,True,False,
2,2,31,study,1,male,White,male,White,angry,,,,,m,1087,True,False,
2,2,32,study,1,female,Latino,male,White,angry,,,,,z,515,True,False,
2,2,33,study,1,male,Asian,female,Black,happy,,,,,m,502,True,False,
2,2,34,study,1,female,Black,male,Black,angry,,,,,z,518,True,False,
2,2,35,study,1,male,Asian,female,White,angry,,,,,m,574,True,False,
2,2,36,study,1,female,Black,female,White,neutral,,,,,z,601,True,False,
2,2,37,study,1,male,Asian,female,White,happy,,,,,m,618,True,False,
2,2,38,study,1,female,Latino,male,White,angry,,,,,m,733,False,False,
2,2,39,study,1,female,Latino,female,Black,happy,,,,,z,2341,True,False,
2,2,40,study,1,male,Black,female,Black,angry,,,,,m,774,True,False,
2,2,41,study,1,female,Asian,female,White,neutral,,,,,z,659,True,False,
2,2,42,study,1,male,White,male,White,neutral,,,,,m,778,True,False,
2,2,43,study,1,female,Black,male,White,neutral,,,,,z,972,True,False,
2,2,44,study,1,male,White,male,Black,angry,,,,,m,728,True,False,
2,2,45,study,1,female,White,female,Black,happy,,,,,z,1225,True,False,
2,2,46,study,1,male,Latino,male,Black,happy,,,,,m,635,True,False,
2,2,47,study,1,female,Asian,male,Black,neutral,,,,,z,768,True,False,
2,2,48,study,1,female,Black,female,Black,angry,,,,,z,571,True,False,
2,2,49,study,1,male,Asian,male,White,neutral,,,,,m,621,True,False,
2,2,50,study,1,male,White,female,Black,happy,,,,,m,1546,True,False,
2,2,51,study,1,female,Asian,female,White,neutral,,,,,z,1446,True,False,
2,2,52,study,1,male,Asian,male,Black,neutral,,,,,m,760,True,False,
2,2,53,study,1,female,White,male,Black,happy,,,,,z,563,True,False,
2,2,54,study,1,male,White,female,White,neutral,,,,,m,817,True,False,
2,2,55,study,1,male,Black,female,Black,happy,,,,,m,937,True,False,
2,2,56,study,1,male,Latino,female,Black,neutral,,,,,m,1355,True,False,
2,2,57,study,1,male,Latino,male,White,happy,,,,,m,1035,True,False,
2,2,58,study,1,male,White,male,White,angry,,,,,m,592,True,False,
2,2,59,study,1,female,White,female,Black,neutral,,,,,z,609,True,False,
2,2,60,study,1,male,Black,female,White,neutral,,,,,m,1984,True,False,
2,2,61,test,0,male,Asian,female,Black,happy,,,,intact,m,384,True,False,
2,2,62,test,0,female,Black,male,Black,neutral,,,,intact,m,271,True,False,
2,2,63,test,0,female,Asian,female,Black,angry,,,,rearranged,z,208,True,False,
2,2,64,test,0,male,Black,female,Black,happy,,,,intact,z,464,False,False,
2,2,65,test,0,female,White,male,White,happy,,,,intact,m,566,True,False,
2,2,66,test,0,male,White,male,White,neutral,,,,intact,m,276,True,False,
2,2,67,test,0,female,Black,female,Black,happy,,,,rearranged,m,263,False,False,
