subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating,key_mapping,subject_id,study_id,session_id,test_mode,trial_index,target_id,target_filename,flanker_id,flanker_filename,correct_response,device_pixel_ratio
1,2,1,study,0,female,Asian,female,White,neutral,,,,,z,700,True,False,,2,,,,False,17,AF-237,materials/cfd/Images/CFD/AF-237/CFD-AF-237-223-N.jpg,WF-213,materials/cfd/Images/CFD/WF-213/CFD-WF-213-031-N.jpg,z,1.5
1,2,2,study,0,female,Black,male,Black,neutral,,,,,,,False,True,,2,,,,False,19,BF-222,materials/cfd/Images/CFD/BF-222/CFD-BF-222-240-N.jpg,BM-232,materials/cfd/Images/CFD/BM-232/CFD-BM-232-213-N.jpg,z,1.5
1,2,3,study,0,male,Black,male,White,angry,,,,,,,False,True,,2,,,,False,21,BM-208,materials/cfd/Images/CFD/BM-208/CFD-BM-208-065-N.jpg,WM-002,materials/cfd/Images/CFD/WM-002/CFD-WM-002-017-A.jpg,m,1.5
1,2,4,study,0,male,White,female,White,neutral,,,,,z,703,False,False,,2,,,,False,23,WM-041,materials/cfd/Images/CFD/WM-041/CFD-WM-041-021-N.jpg,WF-220,materials/cfd/Images/CFD/WF-220/CFD-WF-220-101-N.jpg,m,1.5
1,2,5,study,0,female,White,male,Black,happy,,,,,,,False,True,,2,,,,False,25,WF-216,materials/cfd/Images/CFD/WF-216/CFD-WF-216-079-N.jpg,BM-034,materials/cfd/Images/CFD/BM-034/CFD-BM-034-033-HO.jpg,z,1.5
1,2,6,study,0,male,White,female,Black,neutral,,,,,z,1654,False,False,,2,,,,False,27,WM-244,materials/cfd/Images/CFD/WM-244/CFD-WM-244-003-N.jpg,BF-226,materials/cfd/Images/CFD/BF-226/CFD-BF-226-119-N.jpg,m,1.5
1,2,7,study,0,female,Asian,female,White,happy,,,,,z,1343,True,False,,2,,,,False,29,AF-228,materials/cfd/Images/CFD/AF-228/CFD-AF-228-173-N.jpg,WF-034,materials/cfd/Images/CFD/WF-034/CFD-WF-034-033-HO.jpg,z,1.5
1,2,8,study,0,male,White,female,White,angry,,,,,z,2716,False,False,,2,,,,False,31,WM-017,materials/cfd/Images/CFD/WM-017/CFD-WM-017-002-N.jpg,WF-010,materials/cfd/Images/CFD/WF-010/CFD-WF-010-014-A.jpg,m,1.5
1,2,9,study,0,male,White,female,White,neutral,,,,,z,2506,False,False,,2,,,,False,33,WM-023,materials/cfd/Images/CFD/WM-023/CFD-WM-023-001-N.jpg,WF-224,materials/cfd/Images/CFD/WF-224/CFD-WF-224-099-N.jpg,m,1.5
1,2,10,study,0,female,Asian,male,Black,neutral,,,,,m,2257,False,False,,2,,,,False,35,AF-256,materials/cfd/Images/CFD/AF-256/CFD-AF-256-160-N.jpg,BM-225,materials/cfd/Images/CFD/BM-225/CFD-BM-225-154-N.jpg,z,1.5
1,2,11,study,0,male,White,male,White,happy,,,,,m,1123,True,False,,2,,,,False,37,WM-225,materials/cfd/Images/CFD/WM-225/CFD-WM-225-127-N.jpg,WM-006,materials/cfd/Images/CFD/WM-006/CFD-WM-006-010-HO.jpg,m,1.5
1,2,12,study,0,male,Asian,female,Black,angry,,,,,z,1339,False,False,,2,,,,False,39,AM-207,materials/cfd/Images/CFD/AM-207/CFD-AM-207-108-N.jpg,BF-037,materials/cfd/Images/CFD/BF-037/CFD-BF-037-013-A.jpg,m,1.5
1,2,13,study,0,male,Asian,female,White,angry,,,,,m,667,True,False,,2,,,,False,41,AM-217,materials/cfd/Images/CFD/AM-217/CFD-AM-217-085-N.jpg,WF-009,materials/cfd/Images/CFD/WF-009/CFD-WF-009-010-A.jpg,m,1.5
1,2,14,study,0,female,Asian,female,White,neutral,,,,,z,895,True,False,,2,,,,False,43,AF-238,materials/cfd/Images/CFD/AF-238/CFD-AF-238-185-N.jpg,WF-007,materials/cfd/Images/CFD/WF-007/CFD-WF-007-001-N.jpg,z,1.5
1,2,15,study,0,female,Asian,male,Black,happy,,,,,m,835,False,False,,2,,,,False,45,AF-240,materials/cfd/Images/CFD/AF-240/CFD-AF-240-206-N.jpg,BM-025,materials/cfd/Images/CFD/BM-025/CFD-BM-025-040-HO.jpg,z,1.5
