subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating
1,2,1,study,0,female,Asian,female,White,neutral,,,,,z,758,True,False,
1,2,2,study,0,female,White,male,White,angry,,,,,z,972,True,False,
1,2,3,study,0,male,Latino,female,Black,happy,,,,,m,989,True,False,
1,2,4,study,0,female,Asian,female,Black,happy,,,,,z,1112,True,False,
1,2,5,study,0,female,Black,female,White,angry,,,,,z,686,True,False,
1,2,6,study,0,male,Black,female,Black,neutral,,,,,m,839,True,False,
1,2,7,study,0,male,Black,male,White,angry,,,,,m,1101,True,False,
1,2,8,study,0,female,Black,female,Black,happy,,,,,z,1126,True,False,
1,2,9,study,0,female,Black,female,White,happy,,,,,z,643,True,False,
1,2,10,study,0,female,Black,male,Black,happy,,,,,z,875,True,False,
1,2,11,study,0,male,Black,female,Black,angry,,,,,z,1690,False,False,
1,2,12,study,0,female,Asian,male,White,angry,,,,,z,1305,True,False,
1,2,13,study,0,male,Black,male,White,happy,,,,,m,1068,True,False,
1,2,14,study,0,male,Latino,female,White,angry,,,,,m,736,True,False,
1,2,15,study,0,male,Asian,male,Black,angry,,,,,m,680,True,False,
1,2,16,study,0,male,Latino,female,White,happy,,,,,m,508,True,False,
1,2,17,study,0,female,Latino,male,Black,angry,,,,,z,657,True,False,
1,2,18,study,0,male,Black,female,Black,angry,,,,,m,1011,True,False,
1,2,19,study,0,male,Black,male,White,neutral,,,,,m,649,True,False,
1,2,20,study,0,male,Asian,female,Black,happy,,,,,m,1066,True,False,
1,2,21,study,0,female,Asian,male,Black,neutral,,,,,,,False,True,
1,2,22,study,0,female,Black,female,White,neutral,,,,,m,1083,False,False,
1,2,23,study,0,male,White,male,Black,angry,,,,,m,1156,True,False,
1,2,24,study,0,female,Asian,male,Black,neutral,,,,,z,1703,True,False,
1,2,25,study,0,female,Latino,male,Black,happy,,,,,z,1339,True,False,
1,2,26,study,0,male,Black,male,White,happy,,,,,m,1294,True,False,
1,2,27,study,0,male,Latino,male,White,neutral,,,,,m,1020,True,False,
1,2,28,study,0,male,White,male,White,happy,,,,,m,1244,True,False,
