subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating,key_mapping,subject_id,study_id,session_id,test_mode,trial_index,target_id,target_filename,flanker_id,flanker_filename,correct_response,device_pixel_ratio
1,2,1,study,0,female,Asian,female,White,neutral,,,,,z,758,True,False,,2,,,,False,17,AF-200,materials/cfd/Images/CFD/AF-200/CFD-AF-200-228-N.jpg,WF-205,materials/cfd/Images/CFD/WF-205/CFD-WF-205-006-N.jpg,z,2
1,2,2,study,0,female,White,male,White,angry,,,,,z,972,True,False,,2,,,,False,19,WF-012,materials/cfd/Images/CFD/WF-012/CFD-WF-012-002-N.jpg,WM-015,materials/cfd/Images/CFD/WM-015/CFD-WM-015-017-A.jpg,z,2
1,2,3,study,0,male,Latino,female,Black,happy,,,,,m,989,True,False,,2,,,,False,21,LM-238,materials/cfd/Images/CFD/LM-238/CFD-LM-238-129-N.jpg,BF-039,materials/cfd/Images/CFD/BF-039/CFD-BF-039-033-HO.jpg,m,2
1,2,4,study,0,female,Asian,female,Black,happy,,,,,z,1112,True,False,,2,,,,False,23,AF-220,materials/cfd/Images/CFD/AF-220/CFD-AF-220-107-N.jpg,BF-011,materials/cfd/Images/CFD/BF-011/CFD-BF-011-004-HO.jpg,z,2
1,2,5,study,0,female,Black,female,White,angry,,,,,z,686,True,False,,2,,,,False,25,BF-016,materials/cfd/Images/CFD/BF-016/CFD-BF-016-017-N.jpg,WF-025,materials/cfd/Images/CFD/WF-025/CFD-WF-025-015-A.jpg,z,2
1,2,6,study,0,male,Black,female,Black,neutral,,,,,m,839,True,False,,2,,,,False,27,BM-017,materials/cfd/Images/CFD/BM-017/CFD-BM-017-021-N.jpg,BF-008,materials/cfd/Images/CFD/BF-008/CFD-BF-008-001-N.jpg,m,2
1,2,7,study,0,male,Black,male,White,angry,,,,,m,1101,True,False,,2,,,,False,29,BM-004,materials/cfd/Images/CFD/BM-004/CFD-BM-004-002-N.jpg,WM-021,materials/cfd/Images/CFD/WM-021/CFD-WM-021-009-A.jpg,m,2
1,2,8,study,0,female,Black,female,Black,happy,,,,,z,1126,True,False,,2,,,,False,31,BF-215,materials/cfd/Images/CFD/BF-215/CFD-BF-215-177-N.jpg,BF-031,materials/cfd/Images/CFD/BF-031/CFD-BF-031-051-HO.jpg,z,2
1,2,9,study,0,female,Black,female,White,happy,,,,,z,643,True,False,,2,,,,False,33,BF-250,materials/cfd/Images/CFD/BF-250/CFD-BF-250-121-N.jpg,WF-005,materials/cfd/Images/CFD/WF-005/CFD-WF-005-013-HO.jpg,z,2
1,2,10,study,0,female,Black,male,Black,happy,,,,,z,875,True,False,,2,,,,False,35,BF-024,materials/cfd/Images/CFD/BF-024/CFD-BF-024-002-N.jpg,BM-037,materials/cfd/Images/CFD/BM-037/CFD-BM-037-036-HO.jpg,z,2
1,2,11,study,0,male,Black,female,Black,angry,,,,,z,1690,False,False,,2,,,,False,37,BM-225,materials/cfd/Images/CFD/BM-225/CFD-BM-225-154-N.jpg,BF-037,materials/cfd/Images/CFD/BF-037/CFD-BF-037-013-A.jpg,m,2
1,2,12,study,0,female,Asian,male,White,angry,,,,,z,1305,True,False,,2,,,,False,39,AF-237,materials/cfd/Images/CFD/AF-237/CFD-AF-237-223-N.jpg,WM-010,materials/cfd/Images/CFD/WM-010/CFD-WM-010-016-A.jpg,z,2
