subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating,pilot
1,2,1,study,0,female,Asian,female,White,neutral,,,,,z,700,True,False,,mar13
1,2,2,study,0,female,Black,male,Black,neutral,,,,,,,False,True,,mar13
1,2,3,study,0,male,Black,male,White,angry,,,,,,,False,True,,mar13
1,2,4,study,0,male,White,female,White,neutral,,,,,z,703,False,False,,mar13
1,2,5,study,0,female,White,male,Black,happy,,,,,,,False,True,,mar13
1,2,6,study,0,male,White,female,Black,neutral,,,,,z,1654,False,False,,mar13
1,2,7,study,0,female,Asian,female,White,happy,,,,,z,1343,True,False,,mar13
1,2,8,study,0,male,White,female,White,angry,,,,,z,2716,False,False,,mar13
1,2,9,study,0,male,White,female,White,neutral,,,,,z,2506,False,False,,mar13
1,2,10,study,0,female,Asian,male,Black,neutral,,,,,m,2257,False,False,,mar13
1,2,11,study,0,male,White,male,White,happy,,,,,m,1123,True,False,,mar13
1,2,12,study,0,male,Asian,female,Black,angry,,,,,z,1339,False,False,,mar13
1,2,13,study,0,male,Asian,female,White,angry,,,,,m,667,True,False,,mar13
1,2,14,study,0,female,Asian,female,White,neutral,,,,,z,895,True,False,,mar13
1,2,15,study,0,female,Asian,male,Black,happy,,,,,m,835,False,False,,mar13
1,2,16,study,0,male,White,male,White,neutral,,,,,z,1031,False,False,,mar13
1,2,17,study,0,female,Latino,male,Black,happy,,,,,m,2345,False,False,,mar13
1,2,18,study,0,female,Black,female,White,happy,,,,,z,1015,True,False,,mar13
1,2,19,study,0,male,White,male,Black,angry,,,,,m,1165,True,False,,mar13
1,2,20,study,0,male,Asian,female,Black,neutral,,,,,z,1682,False,False,,mar13
1,2,21,study,0,female,Latino,male,Black,angry,,,,,m,1095,False,False,,mar13
1,2,22,study,0,female,Black,male,Black,neutral,,,,,,,False,True,,mar13
1,2,23,study,0,female,Latino,female,White,angry,,,,,z,534,True,False,,mar13
1,2,24,study,0,male,Latino,male,Black,happy,,,,,m,673,True,False,,mar13
1,2,25,study,0,female,Black,female,Black,happy,,,,,z,769,True,False,,mar13
1,2,26,study,0,female,Latino,male,Black,angry,,,,,z,1618,True,False,,mar13
1,2,27,study,0,male,Asian,female,White,happy,,,,,z,2079,False,False,,mar13
1,2,28,study,0,female,Black,female,Black,neutral,,,,,z,1184,True,False,,mar13
1,2,29,study,0,female,White,male,Black,happy,,,,,m,840,False,False,,mar13
1,2,30,study,0,male,Black,female,White,happy,,,,,z,1462,False,False,,mar13
1,2,31,study,1,male,Black,female,White,happy,,,,,z,1383,False,False,,mar13
1,2,32,study,1,female,Asian,female,Black,happy,,,,,z,2077,True,False,,mar13
1,2,33,study,1,male,White,female,White,neutral,,,,,z,1530,False,False,,mar13
1,2,34,study,1,female,Black,female,Black,angry,,,,,z,1261,True,False,,mar13
1,2,35,study,1,female,Latino,male,Black,neutral,,,,,m,1044,False,False,,mar13
1,2,36,study,1,female,Black,female,Black,angry,,,,,z,638,True,False,,mar13
1,2,37,study,1,male,Latino,male,White,neutral,,,,,z,822,False,False,,mar13
1,2,38,study,1,female,Black,female,White,neutral,,,,,z,798,True,False,,mar13
1,2,39,study,1,male,Black,male,Black,happy,,,,,m,803,True,False,,mar13
1,2,40,study,1,male,White,male,Black,neutral,,,,,m,694,True,False,,mar13
1,2,41,study,1,male,White,male,White,happy,,,,,m,1093,True,False,,mar13
1,2,42,study,1,male,Latino,male,White,angry,,,,,m,1115,True,False,,mar13
1,2,43,study,1,male,White,female,Black,angry,,,,,z,1266,False,False,,mar13
1,2,44,study,1,male,Asian,male,Black,neutral,,,,,m,1018,True,False,,mar13
