subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating,key_mapping,subject_id,study_id,session_id,test_mode,trial_index,target_id,target_filename,flanker_id,flanker_filename,correct_response
1,1,1,study,0,female,Black,male,Black,neutral,,,,,m,1546,True,False,,2,,,,False,13,BF-203,materials/cfd/Images/CFD/BF-203/CFD-BF-203-184-N.jpg,BM-252,materials/cfd/Images/CFD/BM-252/CFD-BM-252-161-N.jpg,m
1,1,2,study,0,male,Black,female,Black,angry,,,,,z,1601,True,False,,2,,,,False,15,BM-218,materials/cfd/Images/CFD/BM-218/CFD-BM-218-132-N.jpg,BF-037,materials/cfd/Images/CFD/BF-037/CFD-BF-037-013-A.jpg,z
1,1,3,study,0,male,White,male,Black,neutral,,,,,z,1828,True,False,,2,,,,False,17,WM-211,materials/cfd/Images/CFD/WM-211/CFD-WM-211-054-N.jpg,BM-207,materials/cfd/Images/CFD/BM-207/CFD-BM-207-024-N.jpg,z
1,1,4,study,0,male,Latino,female,White,happy,,,,,m,1223,False,False,,2,,,,False,19,LM-249,materials/cfd/Images/CFD/LM-249/CFD-LM-249-001-N.jpg,WF-024,materials/cfd/Images/CFD/WF-024/CFD-WF-024-006-HO.jpg,z
1,1,5,study,0,male,Asian,male,White,angry,,,,,z,816,True,False,,2,,,,False,21,AM-212,materials/cfd/Images/CFD/AM-212/CFD-AM-212-050-N.jpg,WM-017,materials/cfd/Images/CFD/WM-017/CFD-WM-017-011-A.jpg,z
1,1,6,study,0,female,Black,female,White,neutral,,,,,m,944,True,False,,2,,,,False,23,BF-230,materials/cfd/Images/CFD/BF-230/CFD-BF-230-189-N.jpg,WF-221,materials/cfd/Images/CFD/WF-221/CFD-WF-221-005-N.jpg,m
1,1,7,study,0,male,Black,male,White,happy,,,,,z,1375,True,False,,2,,,,False,25,BM-240,materials/cfd/Images/CFD/BM-240/CFD-BM-240-207-N.jpg,WM-036,materials/cfd/Images/CFD/WM-036/CFD-WM-036-034-HO.jpg,z
1,1,8,study,0,female,White,female,Black,happy,,,,,m,849,True,False,,2,,,,False,27,WF-034,materials/cfd/Images/CFD/WF-034/CFD-WF-034-006-N.jpg,BF-021,materials/cfd/Images/CFD/BF-021/CFD-BF-021-014-HO.jpg,m
1,1,9,study,0,female,Black,male,White,happy,,,,,m,978,True,False,,2,,,,False,29,BF-036,materials/cfd/Images/CFD/BF-036/CFD-BF-036-027-N.jpg,WM-015,materials/cfd/Images/CFD/WM-015/CFD-WM-015-005-HO.jpg,m
1,1,10,study,0,female,White,female,White,angry,,,,,m,1212,True,False,,2,,,,False,31,WF-223,materials/cfd/Images/CFD/WF-223/CFD-WF-223-133-N.jpg,WF-010,materials/cfd/Images/CFD/WF-010/CFD-WF-010-014-A.jpg,m
1,1,11,study,0,male,White,female,Black,neutral,,,,,z,1154,True,False,,2,,,,False,33,WM-257,materials/cfd/Images/CFD/WM-257/CFD-WM-257-161-N.jpg,BF-215,materials/cfd/Images/CFD/BF-215/CFD-BF-215-177-N.jpg,z
1,1,12,study,0,male,White,male,Black,neutral,,,,,z,1463,True,False,,2,,,,False,35,WM-020,materials/cfd/Images/CFD/WM-020/CFD-WM-020-001-N.jpg,BM-209,materials/cfd/Images/CFD/BM-209/CFD-BM-209-088-N.jpg,z
